,Datetime_updated_seconds,Price_USD,Price_Crypto,densities,vertex_count,edge_count,volume,collection,blacklisted,whitelisted
0,2020-12-02 12:00:00,0.04015,1.0,1.0,2.0,1.0,1.0,12345rainbow,1,0
1,2020-12-02 12:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
2,2020-12-02 13:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
3,2020-12-02 13:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
4,2020-12-02 14:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
5,2020-12-02 14:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
6,2020-12-02 15:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
7,2020-12-02 15:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
8,2020-12-02 16:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
9,2020-12-02 16:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
10,2020-12-02 17:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
11,2020-12-02 17:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
12,2020-12-02 18:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
13,2020-12-02 18:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
14,2020-12-02 19:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
15,2020-12-02 19:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
16,2020-12-02 20:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
17,2020-12-02 20:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
18,2020-12-02 21:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
19,2020-12-02 21:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
20,2020-12-02 22:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
21,2020-12-02 22:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
22,2020-12-02 23:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
23,2020-12-02 23:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
24,2020-12-03 00:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
25,2020-12-03 00:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
26,2020-12-03 01:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
27,2020-12-03 01:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
28,2020-12-03 02:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
29,2020-12-03 02:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
30,2020-12-03 03:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
31,2020-12-03 03:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
32,2020-12-03 04:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
33,2020-12-03 04:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
34,2020-12-03 05:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
35,2020-12-03 05:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
36,2020-12-03 06:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
37,2020-12-03 06:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
38,2020-12-03 07:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
39,2020-12-03 07:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
40,2020-12-03 08:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
41,2020-12-03 08:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
42,2020-12-03 09:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
43,2020-12-03 09:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
44,2020-12-03 10:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
45,2020-12-03 10:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
46,2020-12-03 11:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
47,2020-12-03 11:30:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
0,2021-03-31 09:30:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,2.0,1amazingbook,0,1
1,2021-03-31 10:00:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
2,2021-03-31 10:30:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
3,2021-03-31 11:00:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
4,2021-03-31 11:30:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
5,2021-03-31 12:00:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
6,2021-03-31 12:30:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
7,2021-03-31 13:00:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
8,2021-03-31 13:30:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
9,2021-03-31 14:00:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
10,2021-03-31 14:30:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
11,2021-03-31 15:00:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
12,2021-03-31 15:30:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
13,2021-03-31 16:00:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
14,2021-03-31 16:30:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
15,2021-03-31 17:00:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
16,2021-03-31 17:30:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
17,2021-03-31 18:00:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
18,2021-03-31 18:30:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
19,2021-03-31 19:00:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
20,2021-03-31 19:30:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
21,2021-03-31 20:00:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
22,2021-03-31 20:30:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
23,2021-03-31 21:00:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
24,2021-03-31 21:30:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
25,2021-03-31 22:00:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
26,2021-03-31 22:30:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
27,2021-03-31 23:00:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
28,2021-03-31 23:30:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
29,2021-04-01 00:00:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
30,2021-04-01 00:30:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
31,2021-04-01 01:00:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
32,2021-04-01 01:30:00,0.13144025,0.5025,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
33,2021-04-01 02:00:00,0.26135,1.0,0.6666666666666666,3.0,2.0,1.0,1amazingbook,0,1
34,2021-04-01 02:30:00,0.26135,1.0,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
35,2021-04-01 03:00:00,0.26135,1.0,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
36,2021-04-01 03:30:00,0.26135,1.0,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
37,2021-04-01 04:00:00,0.26135,1.0,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
38,2021-04-01 04:30:00,0.26135,1.0,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
39,2021-04-01 05:00:00,0.26135,1.0,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
40,2021-04-01 05:30:00,0.26135,1.0,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
41,2021-04-01 06:00:00,0.26135,1.0,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
42,2021-04-01 06:30:00,0.26135,1.0,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
43,2021-04-01 07:00:00,0.26135,1.0,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
44,2021-04-01 07:30:00,0.26135,1.0,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
45,2021-04-01 08:00:00,0.26135,1.0,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
46,2021-04-01 08:30:00,0.26135,1.0,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
47,2021-04-01 09:00:00,0.26135,1.0,0.6666666666666666,3.0,2.0,0.0,1amazingbook,0,1
0,2021-04-09 20:00:00,125.45,500.0,1.0,2.0,1.0,1.0,1bitcoinlive,0,1
1,2021-04-09 20:30:00,125.45,500.0,1.0,2.0,1.0,0.0,1bitcoinlive,0,1
2,2021-04-09 21:00:00,125.45,500.0,1.0,2.0,1.0,0.0,1bitcoinlive,0,1
3,2021-04-09 21:30:00,125.45,500.0,1.0,2.0,1.0,0.0,1bitcoinlive,0,1
4,2021-04-09 22:00:00,125.45,500.0,1.0,2.0,1.0,0.0,1bitcoinlive,0,1
