blacklisted,Validation,Train_Test,Clusters Combined,N,Timestep,Mean_max_diameter,StdDev,StdErr
0,Training,Train,1,243,1,1.1810699588,0.3858709255,0.0247536314
0,Training,Train,1,243,2,0.6995884774,0.7303060573,0.0468491554
0,Training,Train,1,243,3,0.658436214,0.7291175629,0.0467729135
0,Training,Train,1,243,4,0.6090534979,0.7154149299,0.0458938892
0,Training,Train,1,243,5,0.5761316872,0.7022442294,0.0450489883
0,Training,Train,1,243,6,0.5596707819,0.6919990615,0.0443917605
0,Training,Train,1,243,7,0.5596707819,0.6979449576,0.0447731899
0,Training,Train,1,243,8,0.5555555556,0.6982859771,0.0447950663
0,Training,Train,1,243,9,0.5514403292,0.6986024889,0.0448153706
0,Training,Train,1,243,10,0.5432098765,0.6932266641,0.0444705112
0,Training,Train,1,243,11,0.5473251029,0.6988945265,0.0448341048
0,Training,Train,1,243,12,0.5349794239,0.6936925835,0.0445004
0,Training,Train,1,243,13,0.5349794239,0.6936925835,0.0445004
0,Training,Train,1,243,14,0.5267489712,0.688080729,0.0441403993
0,Training,Train,1,243,15,0.5349794239,0.6996240871,0.0448809061
0,Training,Train,1,243,16,0.5185185185,0.6883525268,0.0441578352
0,Training,Train,1,243,17,0.5185185185,0.6883525268,0.0441578352
0,Training,Train,1,243,18,0.5226337449,0.6942071832,0.0445334116
0,Training,Train,1,243,19,0.5061728395,0.6825473094,0.0437854303
0,Training,Train,1,243,20,0.5061728395,0.6825473094,0.0437854303
0,Training,Train,1,243,21,0.5061728395,0.6825473094,0.0437854303
0,Training,Train,1,243,22,0.5061728395,0.6825473094,0.0437854303
0,Training,Train,1,243,23,0.4979423868,0.6764912245,0.0433969323
0,Training,Train,1,243,24,0.4979423868,0.6764912245,0.0433969323
0,Training,Train,1,243,25,0.4979423868,0.6764912245,0.0433969323
0,Training,Train,1,243,26,0.4897119342,0.6764158088,0.0433920944
0,Training,Train,1,243,27,0.4938271605,0.688574827,0.0441720957
0,Training,Train,1,243,28,0.4691358025,0.6696444058,0.0429577087
0,Training,Train,1,243,29,0.4609053498,0.663009046,0.0425320501
0,Training,Train,1,243,30,0.4650205761,0.6694412216,0.0429446744
0,Training,Train,1,243,31,0.4650205761,0.6694412216,0.0429446744
0,Training,Train,1,243,32,0.4650205761,0.6694412216,0.0429446744
0,Training,Train,1,243,33,0.4567901235,0.6627525132,0.0425155935
0,Training,Train,1,243,34,0.4567901235,0.6627525132,0.0425155935
0,Training,Train,1,243,35,0.4485596708,0.6558919102,0.0420754857
0,Training,Train,1,243,36,0.4403292181,0.64885396,0.0416240009
0,Training,Train,1,243,37,0.4485596708,0.668373491,0.0428761794
0,Training,Train,1,243,38,0.4279835391,0.6411821209,0.0411318522
0,Training,Train,1,243,39,0.4279835391,0.6411821209,0.0411318522
0,Training,Train,1,243,40,0.4197530864,0.6337126118,0.040652683
0,Training,Train,1,243,41,0.4156378601,0.639668613,0.0410347607
0,Training,Train,1,243,42,0.4074074074,0.6320198065,0.0405440895
0,Training,Train,1,243,43,0.4074074074,0.6320198065,0.0405440895
0,Training,Train,1,243,44,0.4032921811,0.6314006673,0.0405043717
0,Training,Train,1,243,45,0.3991769547,0.6307539611,0.0404628855
0,Training,Train,1,243,46,0.3868312757,0.6220396339,0.0399038611
0,Training,Train,1,243,47,0.378600823,0.6137835658,0.0393742341
0,Training,Train,1,243,48,0.378600823,0.6204794343,0.0398037743
0,Training,Train,1,243,49,0.3703703704,0.6120912084,0.0392656693
0,Training,Train,1,243,50,0.3703703704,0.6120912084,0.0392656693
0,Training,Train,1,243,51,0.3621399177,0.6034737159,0.0387128569
0,Training,Train,1,243,52,0.3621399177,0.6034737159,0.0387128569
0,Training,Train,1,243,53,0.3621399177,0.6034737159,0.0387128569
0,Training,Train,1,243,54,0.366255144,0.6112015405,0.0392085971
0,Training,Train,1,243,55,0.366255144,0.6179253886,0.0396399322
0,Training,Train,1,243,56,0.353909465,0.608357041,0.0390261224
0,Training,Train,1,243,57,0.3456790123,0.5994589949,0.0384553125
0,Training,Train,1,243,58,0.3456790123,0.5994589949,0.0384553125
0,Training,Train,1,243,59,0.3456790123,0.5994589949,0.0384553125
0,Training,Train,1,243,60,0.3374485597,0.5903116494,0.03786851
0,Training,Train,1,243,61,0.329218107,0.587973658,0.0377185277
0,Training,Train,1,243,62,0.329218107,0.587973658,0.0377185277
0,Training,Train,1,243,63,0.329218107,0.587973658,0.0377185277
0,Training,Train,1,243,64,0.3209876543,0.5784096284,0.037104995
0,Training,Train,1,243,65,0.3209876543,0.5784096284,0.037104995
0,Training,Train,1,243,66,0.3209876543,0.5784096284,0.037104995
0,Training,Train,1,243,67,0.3209876543,0.5784096284,0.037104995
0,Training,Train,1,243,68,0.3127572016,0.5685651531,0.0364734716
0,Training,Train,1,243,69,0.3086419753,0.5671876825,0.0363851068
0,Training,Train,1,243,70,0.2962962963,0.5554637206,0.0356330143
0,Training,Train,1,243,71,0.29218107,0.5539308965,0.0355346836
0,Training,Train,1,243,72,0.29218107,0.5539308965,0.0355346836
0,Training,Train,1,243,73,0.29218107,0.5539308965,0.0355346836
0,Training,Train,1,243,74,0.29218107,0.5539308965,0.0355346836
